Date,Mean1990s,Mean2000s,Mean2010s,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
2/7,3.1554,3.3599,3.2265,3.173,3.428,3.166,2.61,3.276,3.738,3.227,2.588,3.187,3.161,2.981,3.676,3.183,3.908,3.866,3.048,2.785,2.994,3.992,3.166,3.227,2.633,3.868,3.903,4.165,3.954,2.89,2.427,2.367,2.831,3.091,2.994,2.363,2.004
2/8,3.1113,3.3227,3.1849,3.119,3.408,3.074,2.568,3.258,3.683,3.208,2.528,3.171,3.096,2.99,3.718,3.096,3.85,3.781,3.013,2.745,2.959,3.928,3.147,3.158,2.615,3.84,3.895,3.998,3.887,2.837,2.424,2.363,2.832,3.059,3.071,2.251,1.982
2/9,3.0722,3.2865,3.1419,3.117,3.367,3.005,2.494,3.203,3.615,3.202,2.491,3.108,3.12,2.936,3.702,3.04,3.84,3.721,2.96,2.702,2.948,3.871,3.145,3.144,2.614,3.755,3.887,3.918,3.822,2.805,2.375,2.311,2.788,3.023,2.998,2.23,1.989
2/10,3.014,3.2529,3.089,3.082,3.304,2.952,2.463,3.168,3.539,3.116,2.488,3.023,3.005,2.913,3.687,3.052,3.811,3.601,2.972,2.641,2.903,3.902,3.047,3.135,2.575,3.637,3.847,3.842,3.737,2.779,2.312,2.273,2.753,3.004,2.904,2.208,1.897
2/11,2.9918,3.2128,3.0744,3.058,3.285,2.943,2.436,3.099,3.508,3.1,2.483,3.055,2.951,2.884,3.608,3.017,3.757,3.58,2.975,2.632,2.856,3.839,2.98,3.074,2.532,3.639,3.833,3.806,3.684,2.764,2.306,2.347,2.759,2.974,2.852,2.165,1.916
2/12,2.9553,3.1696,3.0345,3.027,3.235,2.906,2.421,3.083,3.48,3.018,2.454,2.997,2.932,2.837,3.57,2.906,3.711,3.532,2.923,2.67,2.871,3.737,2.939,2.992,2.546,3.658,3.812,3.739,3.665,2.735,2.243,2.305,2.65,2.956,2.833,2.182,1.864
2/13,2.9164,3.1522,3.0064,3.01,3.185,2.833,2.387,3.086,3.419,2.998,2.437,2.946,2.863,2.732,3.538,2.893,3.727,3.512,2.894,2.7,2.838,3.767,2.921,2.931,2.521,3.645,3.741,3.719,3.666,2.715,2.255,2.246,2.625,2.901,2.811,2.123,1.871
2/14,2.8926,3.1219,2.9773,2.982,3.124,2.811,2.364,3.091,3.37,2.967,2.415,2.966,2.836,2.702,3.529,2.856,3.693,3.5,2.883,2.645,2.809,3.744,2.858,2.906,2.471,3.587,3.753,3.655,3.634,2.669,2.242,2.259,2.597,2.852,2.727,2.122,1.891
2/15,2.8535,3.0928,2.9641,2.962,3.092,2.74,2.309,3.129,3.37,2.821,2.38,2.924,2.808,2.685,3.476,2.776,3.704,3.475,2.865,2.59,2.81,3.753,2.794,2.877,2.44,3.518,3.741,3.615,3.663,2.621,2.301,2.276,2.589,2.824,2.709,2.034,1.834
2/16,2.8382,3.0783,2.9307,2.94,3.093,2.725,2.333,3.107,3.418,2.8,2.339,2.873,2.754,2.682,3.488,2.75,3.727,3.437,2.844,2.567,2.743,3.746,2.799,2.842,2.381,3.402,3.713,3.641,3.609,2.625,2.306,2.232,2.556,2.794,2.69,1.995,1.915
2/17,2.8282,3.0746,2.9139,2.928,3.093,2.698,2.336,3.119,3.355,2.821,2.327,2.854,2.751,2.752,3.465,2.77,3.626,3.33,2.832,2.562,2.736,3.885,2.788,2.863,2.367,3.332,3.695,3.624,3.573,2.616,2.294,2.206,2.569,2.758,2.749,2.041,1.796
2/18,2.8206,3.056,2.9058,2.942,3.105,2.62,2.301,3.104,3.38,2.776,2.378,2.854,2.746,2.582,3.466,2.729,3.658,3.357,2.804,2.539,2.816,3.829,2.78,2.852,2.352,3.314,3.708,3.626,3.544,2.645,2.23,2.2,2.587,2.714,2.717,1.97,1.793
2/19,2.7843,3.0321,2.8974,2.881,2.985,2.582,2.281,3.097,3.414,2.705,2.311,2.832,2.755,2.588,3.441,2.749,3.631,3.297,2.857,2.512,2.723,3.763,2.76,2.878,2.373,3.262,3.679,3.574,3.589,2.651,2.219,2.2,2.549,2.711,2.739,1.98,1.766
2/20,2.7743,3.0267,2.9028,2.903,2.887,2.567,2.342,3.098,3.401,2.688,2.319,2.831,2.707,2.659,3.459,2.697,3.656,3.259,2.877,2.487,2.74,3.692,2.741,2.856,2.36,3.214,3.693,3.572,3.62,2.712,2.209,2.25,2.542,2.769,2.703,1.929,1.79
2/21,2.7639,3.0572,2.9034,2.841,2.799,2.521,2.381,3.089,3.395,2.69,2.299,2.841,2.783,2.73,3.485,2.727,3.684,3.363,2.901,2.513,2.756,3.736,2.677,2.92,2.327,3.201,3.693,3.548,3.641,2.742,2.236,2.22,2.506,2.76,2.691,1.91,1.797
2/22,2.7467,3.0728,2.9064,2.784,2.765,2.512,2.334,3.126,3.401,2.673,2.314,2.836,2.722,2.88,3.487,2.716,3.696,3.325,2.875,2.544,2.748,3.786,2.671,2.978,2.319,3.162,3.754,3.556,3.669,2.726,2.211,2.22,2.469,2.747,2.68,1.915,1.815
2/23,2.7327,3.0958,2.9041,2.79,2.73,2.492,2.376,3.098,3.339,2.666,2.302,2.819,2.715,2.936,3.46,2.765,3.737,3.314,2.887,2.543,2.779,3.807,2.73,3.044,2.327,3.111,3.738,3.559,3.655,2.742,2.173,2.231,2.461,2.756,2.718,1.949,1.834
2/24,2.7281,3.095,2.9116,2.81,2.704,2.551,2.377,3.092,3.33,2.614,2.299,2.787,2.717,2.863,3.517,2.727,3.696,3.39,2.893,2.547,2.766,3.845,2.706,3.049,2.379,3.137,3.761,3.57,3.615,2.735,2.169,2.215,2.486,2.754,2.718,1.94,1.824
2/25,2.7267,3.1304,2.9287,2.833,2.628,2.537,2.409,3.109,3.358,2.597,2.29,2.772,2.734,2.86,3.569,2.846,3.655,3.39,2.89,2.579,2.828,3.877,2.81,3.054,2.344,3.25,3.789,3.638,3.615,2.748,2.142,2.236,2.471,2.757,2.769,1.908,1.804
2/26,2.721,3.18,2.9481,2.862,2.563,2.522,2.352,3.144,3.352,2.61,2.295,2.782,2.728,2.898,3.643,2.859,3.686,3.457,2.897,2.615,2.937,3.971,2.837,3.184,2.358,3.292,3.739,3.648,3.639,2.728,2.159,2.252,2.482,2.757,2.875,1.953,1.823
2/27,2.7594,3.2156,2.9488,2.861,2.554,2.621,2.385,3.214,3.448,2.66,2.264,2.816,2.771,2.919,3.722,2.902,3.656,3.438,3.046,2.617,3.002,3.929,2.925,3.123,2.395,3.195,3.801,3.695,3.674,2.724,2.112,2.324,2.445,2.735,2.982,1.929,1.856
2/28,2.8035,3.2522,2.978,2.899,2.578,2.634,2.41,3.309,3.546,2.776,2.333,2.794,2.756,2.93,3.757,2.992,3.65,3.505,3.047,2.645,3.045,3.936,3.015,3.141,2.454,3.226,3.883,3.711,3.715,2.731,2.128,2.364,2.427,2.753,3.064,1.947,1.848
2/29,2.6975,3.495666667,3.23,,,2.596,,,,2.799,,,,2.923,,,,3.548,,,,4.016,,,,3.23,,,,,,,,2.723,,,
3/1,2.8293,3.2923,3.0004,2.902,2.575,2.659,2.398,3.363,3.618,2.818,2.377,2.813,2.77,2.984,3.781,3.016,3.643,3.604,3.085,2.561,3.055,4.104,3.09,3.124,2.543,3.286,3.87,3.72,3.765,2.791,2.08,2.351,2.474,2.747,3.215,1.991,1.907
3/2,2.8845,3.3568,3.0458,2.931,2.595,2.759,2.393,3.459,3.635,2.941,2.473,2.813,2.846,3.025,3.836,3.074,3.647,3.691,3.167,2.622,3.086,4.166,3.254,3.164,2.517,3.36,4.031,3.78,3.75,2.813,2.127,2.385,2.531,2.752,3.338,2.008,1.908
3/3,2.928,3.4122,3.0838,2.971,2.631,2.822,2.371,3.53,3.689,3.072,2.507,2.886,2.801,3.175,3.854,3.138,3.655,3.768,3.209,2.581,3.203,4.252,3.287,3.176,2.553,3.386,4.121,3.826,3.818,2.85,2.106,2.46,2.542,2.778,3.495,2.029,1.877
3/4,2.9659,3.4549,3.1381,3.018,2.677,2.834,2.375,3.595,3.749,3.071,2.566,2.987,2.787,3.284,3.87,3.154,3.722,3.73,3.257,2.543,3.264,4.326,3.399,3.215,2.587,3.48,4.16,3.916,3.894,2.929,2.136,2.485,2.579,2.853,3.647,2.136,1.896
3/5,3.0108,3.4872,3.1915,3.129,2.686,2.828,2.346,3.642,3.825,3.096,2.674,3.029,2.853,3.328,3.953,3.142,3.717,3.813,3.269,2.578,3.227,4.37,3.475,3.329,2.627,3.554,4.196,4.006,3.959,2.961,2.149,2.535,2.599,2.969,3.706,2.171,1.939
3/6,3.059,3.5365,3.2423,3.148,2.723,2.793,2.433,3.66,3.908,3.214,2.673,3.104,2.934,3.333,4.027,3.227,3.751,3.862,3.304,2.62,3.233,4.476,3.532,3.381,2.704,3.601,4.262,4.111,4.021,3.005,2.176,2.552,2.61,3.109,3.808,2.161,2.034
3/7,3.117,3.6101,3.2947,3.169,2.748,2.878,2.554,3.641,3.921,3.332,2.744,3.163,3.02,3.445,4.13,3.281,3.777,3.893,3.471,2.679,3.285,4.5,3.64,3.416,2.782,3.69,4.366,4.096,4.07,3.049,2.174,2.687,2.617,3.194,3.857,2.229,2.104
3/8,3.1834,3.6769,3.3774,3.21,2.845,2.91,2.629,3.735,3.99,3.472,2.798,3.3,2.945,3.56,4.215,3.304,3.813,3.93,3.565,2.723,3.41,4.53,3.719,3.535,2.891,3.791,4.45,4.19,4.122,3.093,2.258,2.789,2.655,3.305,3.959,2.29,2.209
3/9,3.2701,3.7272,3.4549,3.243,2.911,2.926,2.732,3.768,4.049,3.57,2.901,3.501,3.1,3.636,4.268,3.38,3.888,3.984,3.513,2.815,3.461,4.633,3.694,3.594,2.991,3.891,4.539,4.285,4.22,3.145,2.326,2.804,2.754,3.392,4.018,2.344,2.349
3/10,3.3708,3.7982,3.5345,3.343,2.971,2.989,2.891,3.884,4.131,3.672,2.967,3.647,3.213,3.694,4.424,3.443,3.975,4.052,3.531,2.818,3.554,4.734,3.757,3.648,3.067,4.011,4.701,4.334,4.299,3.255,2.327,2.918,2.785,3.496,4.043,2.416,2.348
3/11,3.4912,3.8727,3.5979,3.506,3.051,3.043,3.081,4.002,4.191,3.73,3.092,3.824,3.392,3.74,4.493,3.516,4.034,4.157,3.597,2.881,3.596,4.806,3.907,3.689,3.102,4.083,4.729,4.389,4.506,3.298,2.392,2.996,2.795,3.623,4.111,2.416,2.361
3/12,3.5909,3.9174,3.6662,3.556,3.207,3.146,3.182,4.04,4.311,3.832,3.122,3.924,3.589,3.787,4.524,3.646,4.064,4.188,3.676,2.906,3.619,4.864,3.9,3.69,3.146,4.184,4.807,4.486,4.547,3.36,2.464,3.149,2.829,3.73,4.164,2.481,2.418
3/13,3.6752,3.9748,3.7536,3.601,3.273,3.227,3.305,4.221,4.363,3.914,3.166,3.985,3.697,3.79,4.594,3.673,4.16,4.242,3.83,2.892,3.655,4.93,3.982,3.715,3.183,4.37,4.874,4.564,4.612,3.504,2.493,3.309,2.912,3.816,4.238,2.511,2.51
3/14,3.7633,4.0613,3.8086,3.703,3.415,3.291,3.42,4.287,4.425,3.991,3.226,4.017,3.858,3.852,4.69,3.697,4.218,4.451,3.842,2.916,3.731,5.045,4.171,3.759,3.263,4.399,4.954,4.592,4.675,3.586,2.528,3.321,3.009,3.933,4.341,2.608,2.537
3/15,3.8772,4.096,3.8595,3.806,3.571,3.402,3.54,4.39,4.516,4.169,3.322,4.058,3.998,3.956,4.691,3.639,4.27,4.408,3.876,2.967,3.829,5.119,4.205,3.762,3.332,4.489,4.976,4.688,4.772,3.672,2.58,3.348,2.976,4.029,4.366,2.646,2.635
3/16,3.962,4.1678,3.9289,3.913,3.655,3.389,3.746,4.509,4.602,4.243,3.34,4.107,4.116,4.029,4.757,3.664,4.353,4.552,3.978,3.005,3.793,5.216,4.331,3.788,3.377,4.626,5.024,4.709,4.902,3.814,2.629,3.391,3.029,4.063,4.467,2.719,2.666
3/17,4.0382,4.2436,4.0219,3.975,3.733,3.449,3.887,4.61,4.733,4.228,3.4,4.166,4.201,4.103,4.839,3.775,4.36,4.618,4.07,3.085,3.853,5.312,4.421,3.836,3.499,4.723,5.094,4.809,5.009,3.957,2.686,3.515,3.091,4.1,4.494,2.765,2.678
3/18,4.1394,4.3272,4.0908,4.033,3.896,3.626,4.021,4.706,4.807,4.312,3.443,4.267,4.283,4.232,4.851,3.802,4.485,4.685,4.212,3.154,3.897,5.391,4.563,3.828,3.552,4.787,5.173,4.847,5.139,4.053,2.774,3.589,3.166,4.198,4.54,2.829,2.785
3/19,4.2225,4.4215,4.1938,4.101,4.056,3.713,4.166,4.795,4.815,4.398,3.541,4.342,4.298,4.32,4.919,3.884,4.538,4.752,4.306,3.228,3.908,5.466,4.894,3.91,3.563,4.867,5.23,4.993,5.228,4.207,2.91,3.727,3.303,4.279,4.611,2.929,2.847
3/20,4.3179,4.4944,4.2587,4.212,4.152,3.798,4.233,4.887,4.799,4.552,3.707,4.472,4.367,4.373,5.009,3.89,4.638,4.795,4.307,3.335,3.936,5.664,4.997,3.879,3.633,4.924,5.266,5.083,5.412,4.303,2.929,3.824,3.334,4.409,4.678,2.993,2.917
3/21,4.4279,4.5719,4.3292,4.319,4.3,3.878,4.265,4.974,4.986,4.609,3.851,4.6,4.497,4.449,5.064,3.951,4.748,4.839,4.428,3.393,3.993,5.873,4.981,3.881,3.669,5.019,5.329,5.205,5.437,4.402,2.978,3.945,3.427,4.488,4.827,3.087,2.953
3/22,4.5251,4.6386,4.4065,4.45,4.394,3.948,4.369,5.075,5.106,4.668,3.98,4.681,4.58,4.494,5.101,4.013,4.92,4.907,4.501,3.458,4.014,5.994,4.984,3.889,3.681,5.13,5.41,5.417,5.524,4.501,2.936,4.083,3.494,4.506,4.943,3.048,3.098
3/23,4.6187,4.7136,4.5158,4.543,4.558,4.059,4.441,5.164,5.194,4.791,4.067,4.713,4.657,4.563,5.195,4.016,5.008,5.001,4.57,3.564,4.084,6.047,5.088,3.957,3.813,5.167,5.476,5.464,5.655,4.668,2.977,4.319,3.662,4.559,5.048,3.075,3.278
3/24,4.7161,4.792,4.5942,4.671,4.725,4.212,4.541,5.253,5.272,4.818,4.152,4.764,4.753,4.618,5.259,4.146,5.073,5.102,4.634,3.69,4.173,6.089,5.136,4.093,3.85,5.177,5.562,5.607,5.743,4.818,3.056,4.398,3.638,4.681,5.135,3.246,3.461
3/25,4.8233,4.8706,4.6878,4.71,4.913,4.342,4.682,5.368,5.387,4.925,4.244,4.848,4.814,4.679,5.296,4.249,5.158,5.189,4.717,3.809,4.264,6.141,5.204,4.22,3.935,5.292,5.661,5.698,5.821,4.962,3.114,4.484,3.691,4.729,5.242,3.357,3.602
3/26,4.9408,4.9275,4.7817,4.838,5.091,4.423,4.834,5.487,5.484,5.073,4.259,4.984,4.935,4.752,5.362,4.282,5.168,5.172,4.814,3.853,4.352,6.155,5.365,4.339,3.939,5.415,5.706,5.854,5.926,5.099,3.194,4.561,3.784,4.858,5.272,3.494,3.737
3/27,5.0315,5.0233,4.8727,4.952,5.139,4.495,4.872,5.614,5.466,5.204,4.388,5.109,5.076,4.92,5.416,4.343,5.239,5.215,4.961,3.993,4.457,6.17,5.519,4.465,3.995,5.524,5.747,6.016,6.023,5.178,3.298,4.628,3.853,4.921,5.32,3.642,3.767
