Dates,Dates,MSLP,SIE,Unnamed: 3,Unnamed: 4,Unnamed: 5,year,day,month
4.0,4.0,3806.0116999999996,5.675454545454545,,,,2017.0,4.0,4.0
4.0,5.0,4001.696018181818,5.770181818181819,,,,2017.0,5.0,4.0
4.0,6.0,4014.1243090909093,5.872272727272729,,,,2017.0,6.0,4.0
4.0,7.0,4092.3430636363632,5.968545454545455,,,,2017.0,7.0,4.0
4.0,8.0,3985.036572727273,6.067727272727273,,,,2017.0,8.0,4.0
4.0,9.0,4131.108636363638,6.1788181818181815,,,,2017.0,9.0,4.0
4.0,10.0,4159.6604727272725,6.28381818181818,,,,2017.0,10.0,4.0
4.0,11.0,4099.110036363636,6.395818181818182,,,,2017.0,11.0,4.0
4.0,12.0,4052.545809090909,6.497727272727274,,,,2017.0,12.0,4.0
4.0,13.0,4019.0696181818184,6.60718181818182,,,,2017.0,13.0,4.0
4.0,14.0,3787.5657090909085,6.714454545454545,,,,2017.0,14.0,4.0
4.0,15.0,3791.857618181819,6.83290909090909,,,,2017.0,15.0,4.0
4.0,16.0,3730.0784909090903,6.960363636363636,,,,2017.0,16.0,4.0
4.0,17.0,3731.1047636363637,7.0819090909090905,,,,2017.0,17.0,4.0
4.0,18.0,3784.0181181818184,7.164909090909091,,,,2017.0,18.0,4.0
4.0,19.0,3691.9552545454553,7.263454545454545,,,,2017.0,19.0,4.0
4.0,20.0,3684.280181818183,7.361727272727271,,,,2017.0,20.0,4.0
4.0,21.0,3666.4424454545456,7.473,,,,2017.0,21.0,4.0
4.0,22.0,3573.9939909090913,7.539545454545455,,,,2017.0,22.0,4.0
4.0,23.0,3415.390645454545,7.652454545454546,,,,2017.0,23.0,4.0
4.0,24.0,3333.9417727272726,7.781999999999999,,,,2017.0,24.0,4.0
4.0,25.0,3450.7762999999995,7.887727272727272,,,,2017.0,25.0,4.0
4.0,26.0,3447.6321,8.005545454545455,,,,2017.0,26.0,4.0
4.0,27.0,3530.6601636363644,8.114454545454548,,,,2017.0,27.0,4.0
4.0,28.0,3515.018090909091,8.211090909090908,,,,2017.0,28.0,4.0
4.0,29.0,3561.6636818181814,8.302363636363635,,,,2017.0,29.0,4.0
4.0,30.0,3660.2972545454545,8.41009090909091,,,,2017.0,30.0,4.0
5.0,1.0,3677.4442272727274,8.520363636363635,,,,2017.0,1.0,5.0
5.0,2.0,3763.535872727273,8.627363636363638,,,,2017.0,2.0,5.0
5.0,3.0,3793.2056454545454,8.754090909090909,,,,2017.0,3.0,5.0
5.0,4.0,3706.134227272727,8.874999999999998,,,,2017.0,4.0,5.0
5.0,5.0,3563.415872727272,8.981272727272726,,,,2017.0,5.0,5.0
5.0,6.0,3562.7230272727274,9.085636363636363,,,,2017.0,6.0,5.0
5.0,7.0,3366.495381818182,9.210818181818183,,,,2017.0,7.0,5.0
5.0,8.0,3316.8558272727273,9.333090909090911,,,,2017.0,8.0,5.0
5.0,9.0,3339.6200181818185,9.45590909090909,,,,2017.0,9.0,5.0
5.0,10.0,3489.3434090909095,9.542363636363637,,,,2017.0,10.0,5.0
5.0,11.0,3512.4030363636366,9.622363636363637,,,,2017.0,11.0,5.0
5.0,12.0,3463.7631363636365,9.719454545454544,,,,2017.0,12.0,5.0
5.0,13.0,3353.3356,9.84381818181818,,,,2017.0,13.0,5.0
5.0,14.0,3263.085581818182,9.938363636363636,,,,2017.0,14.0,5.0
5.0,15.0,3360.3686272727277,10.049,,,,2017.0,15.0,5.0
5.0,16.0,3388.1594454545457,10.156818181818183,,,,2017.0,16.0,5.0
5.0,17.0,3333.9239909090907,10.266636363636366,,,,2017.0,17.0,5.0
5.0,18.0,3300.095209090909,10.367727272727272,,,,2017.0,18.0,5.0
5.0,19.0,3323.9921909090904,10.498272727272727,,,,2017.0,19.0,5.0
5.0,20.0,3166.147390909091,10.588090909090909,,,,2017.0,20.0,5.0
5.0,21.0,3279.1541181818175,10.717818181818181,,,,2017.0,21.0,5.0
5.0,22.0,3259.3697,10.81590909090909,,,,2017.0,22.0,5.0
5.0,23.0,3044.7816000000007,10.885272727272728,,,,2017.0,23.0,5.0
5.0,24.0,2909.8206636363643,10.983636363636363,,,,2017.0,24.0,5.0
5.0,25.0,2879.237927272727,11.07372727272727,,,,2017.0,25.0,5.0
5.0,26.0,2734.3259909090907,11.158363636363637,,,,2017.0,26.0,5.0
5.0,27.0,2792.0820181818185,11.267454545454546,,,,2017.0,27.0,5.0
5.0,28.0,2771.4328818181816,11.364363636363635,,,,2017.0,28.0,5.0
5.0,29.0,2809.8707272727274,11.425636363636363,,,,2017.0,29.0,5.0
5.0,30.0,2964.078809090909,11.492272727272727,,,,2017.0,30.0,5.0
5.0,31.0,3194.3068000000003,11.602727272727273,,,,2017.0,31.0,5.0
6.0,1.0,3356.8711000000008,11.718272727272728,,,,2017.0,1.0,6.0
6.0,2.0,3323.922945454546,11.830454545454545,,,,2017.0,2.0,6.0
6.0,3.0,3321.033390909091,11.961636363636364,,,,2017.0,3.0,6.0
6.0,4.0,3385.4556272727277,12.088363636363637,,,,2017.0,4.0,6.0
6.0,5.0,3341.4694454545456,12.206818181818182,,,,2017.0,5.0,6.0
6.0,6.0,3398.013154545455,12.31990909090909,,,,2017.0,6.0,6.0
6.0,7.0,3457.6051181818184,12.427,,,,2017.0,7.0,6.0
6.0,8.0,3575.487918181819,12.534909090909089,,,,2017.0,8.0,6.0
6.0,9.0,3463.0241454545453,12.651636363636367,,,,2017.0,9.0,6.0
6.0,10.0,3378.1172090909095,12.765090909090908,,,,2017.0,10.0,6.0
6.0,11.0,3260.207045454546,12.873090909090907,,,,2017.0,11.0,6.0
6.0,12.0,3206.7130818181818,12.97409090909091,,,,2017.0,12.0,6.0
6.0,13.0,3179.730472727273,13.08790909090909,,,,2017.0,13.0,6.0
6.0,14.0,3304.302890909091,13.225454545454546,,,,2017.0,14.0,6.0
6.0,15.0,3375.8128545454542,13.342727272727272,,,,2017.0,15.0,6.0
6.0,16.0,3368.433954545455,13.448,,,,2017.0,16.0,6.0
6.0,17.0,3429.525945454546,13.549181818181815,,,,2017.0,17.0,6.0
6.0,18.0,3455.1328272727274,13.635454545454543,,,,2017.0,18.0,6.0
6.0,19.0,3499.576363636364,13.71718181818182,,,,2017.0,19.0,6.0
6.0,20.0,3517.606527272728,13.811272727272728,,,,2017.0,20.0,6.0
6.0,21.0,3434.7542818181814,13.923,,,,2017.0,21.0,6.0
6.0,22.0,3298.7045363636366,14.023181818181818,,,,2017.0,22.0,6.0
6.0,23.0,3189.1374454545457,14.12763636363636,,,,2017.0,23.0,6.0
6.0,24.0,3148.8444727272727,14.184272727272726,,,,2017.0,24.0,6.0
6.0,25.0,3324.8196181818184,14.303727272727274,,,,2017.0,25.0,6.0
6.0,26.0,3517.9868545454547,14.411909090909091,,,,2017.0,26.0,6.0
6.0,27.0,3288.533727272727,14.517545454545456,,,,2017.0,27.0,6.0
6.0,28.0,2959.645609090909,14.613545454545458,,,,2017.0,28.0,6.0
6.0,29.0,2975.878545454545,14.719545454545454,,,,2017.0,29.0,6.0
6.0,30.0,3056.603,14.803090909090907,,,,2017.0,30.0,6.0
7.0,1.0,3190.508872727273,14.875727272727271,,,,2017.0,1.0,7.0
7.0,2.0,3350.7503545454547,14.951,,,,2017.0,2.0,7.0
7.0,3.0,3448.0468727272732,15.045181818181819,,,,2017.0,3.0,7.0
7.0,4.0,3455.612190909091,15.132363636363635,,,,2017.0,4.0,7.0
7.0,5.0,3482.024863636363,15.241909090909092,,,,2017.0,5.0,7.0
7.0,6.0,3370.8792636363632,15.34290909090909,,,,2017.0,6.0,7.0
7.0,7.0,3384.0216727272727,15.415999999999999,,,,2017.0,7.0,7.0
7.0,8.0,3309.3437636363637,15.502272727272727,,,,2017.0,8.0,7.0
7.0,9.0,3376.382454545454,15.558454545454545,,,,2017.0,9.0,7.0
7.0,10.0,3364.022018181818,15.641181818181819,,,,2017.0,10.0,7.0
7.0,11.0,3267.0749181818187,15.704454545454542,,,,2017.0,11.0,7.0
7.0,12.0,3197.7251545454546,15.768363636363638,,,,2017.0,12.0,7.0
7.0,13.0,3126.3938181818185,15.828727272727274,,,,2017.0,13.0,7.0
7.0,14.0,3229.9580909090905,15.886272727272729,,,,2017.0,14.0,7.0
7.0,15.0,3295.236872727273,15.954818181818183,,,,2017.0,15.0,7.0
7.0,16.0,3293.365763636364,16.02245454545454,,,,2017.0,16.0,7.0
7.0,17.0,3422.853000000001,16.10727272727273,,,,2017.0,17.0,7.0
7.0,18.0,3455.5713545454546,16.199181818181817,,,,2017.0,18.0,7.0
7.0,19.0,3440.5063999999998,16.26954545454545,,,,2017.0,19.0,7.0
7.0,20.0,3476.772018181818,16.301545454545455,,,,2017.0,20.0,7.0
7.0,21.0,3540.0941000000003,16.369727272727275,,,,2017.0,21.0,7.0
7.0,22.0,3604.022027272727,16.479363636363637,,,,2017.0,22.0,7.0
7.0,23.0,3371.458109090909,16.555363636363637,,,,2017.0,23.0,7.0
7.0,24.0,3254.849090909091,16.616272727272726,,,,2017.0,24.0,7.0
7.0,25.0,3389.652345454546,16.699,,,,2017.0,25.0,7.0
7.0,26.0,3451.884609090909,16.77827272727273,,,,2017.0,26.0,7.0
7.0,27.0,3361.188209090909,16.841,,,,2017.0,27.0,7.0
7.0,28.0,3168.4932636363633,16.90563636363636,,,,2017.0,28.0,7.0
7.0,29.0,3062.5170363636357,16.959272727272726,,,,2017.0,29.0,7.0
7.0,30.0,3238.0284272727267,17.03063636363636,,,,2017.0,30.0,7.0
7.0,31.0,3330.3022090909085,17.09772727272727,,,,2017.0,31.0,7.0
8.0,1.0,3289.4034,17.13918181818182,,,,2017.0,1.0,8.0
8.0,2.0,3234.9239909090916,17.194909090909093,,,,2017.0,2.0,8.0
8.0,3.0,3335.3167545454544,17.251090909090905,,,,2017.0,3.0,8.0
8.0,4.0,3411.6054727272726,17.303454545454546,,,,2017.0,4.0,8.0
8.0,5.0,3518.4833,17.355272727272723,,,,2017.0,5.0,8.0
8.0,6.0,3480.0951999999993,17.40009090909091,,,,2017.0,6.0,8.0
8.0,7.0,3547.103709090909,17.46481818181818,,,,2017.0,7.0,8.0
8.0,8.0,3484.5593272727274,17.527727272727276,,,,2017.0,8.0,8.0
8.0,9.0,3271.1740272727275,17.58627272727273,,,,2017.0,9.0,8.0
8.0,10.0,3216.3991363636364,17.624818181818185,,,,2017.0,10.0,8.0
8.0,11.0,3252.9488727272733,17.65518181818182,,,,2017.0,11.0,8.0
8.0,12.0,3239.1214363636363,17.697636363636363,,,,2017.0,12.0,8.0
8.0,13.0,3175.8444545454545,17.74818181818182,,,,2017.0,13.0,8.0
8.0,14.0,3127.366845454546,17.80654545454545,,,,2017.0,14.0,8.0
8.0,15.0,3210.517390909091,17.842454545454544,,,,2017.0,15.0,8.0
8.0,16.0,3388.632463636364,17.856363636363632,,,,2017.0,16.0,8.0
8.0,17.0,3478.275218181818,17.89981818181818,,,,2017.0,17.0,8.0
8.0,18.0,3422.9233272727274,17.933909090909086,,,,2017.0,18.0,8.0
8.0,19.0,3357.361827272727,17.989,,,,2017.0,19.0,8.0
8.0,20.0,3375.1945909090905,18.024545454545457,,,,2017.0,20.0,8.0
8.0,21.0,3406.4001999999996,18.063818181818178,,,,2017.0,21.0,8.0
8.0,22.0,3640.755363636363,18.123636363636365,,,,2017.0,22.0,8.0
8.0,23.0,3597.9137000000005,18.174636363636363,,,,2017.0,23.0,8.0
8.0,24.0,3589.814272727272,18.204545454545453,,,,2017.0,24.0,8.0
8.0,25.0,3548.5859181818178,18.262090909090908,,,,2017.0,25.0,8.0
8.0,26.0,3778.8114454545457,18.311545454545453,,,,2017.0,26.0,8.0
8.0,27.0,3786.252836363636,18.337181818181815,,,,2017.0,27.0,8.0
8.0,28.0,3659.8970090909093,18.351181818181818,,,,2017.0,28.0,8.0
8.0,29.0,3593.1878727272733,18.408545454545454,,,,2017.0,29.0,8.0
8.0,30.0,3773.0610363636365,18.409545454545455,,,,2017.0,30.0,8.0
8.0,31.0,3836.8178363636357,18.402909090909088,,,,2017.0,31.0,8.0
9.0,1.0,3685.7773181818193,18.395818181818182,,,,2017.0,1.0,9.0
9.0,2.0,3555.968363636364,18.404909090909094,,,,2017.0,2.0,9.0
9.0,3.0,3735.6935272727274,18.44936363636364,,,,2017.0,3.0,9.0
9.0,4.0,3833.516309090909,18.482363636363633,,,,2017.0,4.0,9.0
9.0,5.0,3717.3991454545453,18.496818181818185,,,,2017.0,5.0,9.0
9.0,6.0,3541.7223090909083,18.49,,,,2017.0,6.0,9.0
9.0,7.0,3569.365045454545,18.510545454545454,,,,2017.0,7.0,9.0
9.0,8.0,3631.3721727272728,18.531999999999996,,,,2017.0,8.0,9.0
9.0,9.0,3766.8522818181814,18.553818181818176,,,,2017.0,9.0,9.0
9.0,10.0,3817.6509090909094,18.585363636363635,,,,2017.0,10.0,9.0
9.0,11.0,3760.3781727272726,18.59790909090909,,,,2017.0,11.0,9.0
9.0,12.0,3836.6899818181814,18.611636363636364,,,,2017.0,12.0,9.0
9.0,13.0,3924.452781818182,18.62490909090909,,,,2017.0,13.0,9.0
9.0,14.0,3957.876772727273,18.606454545454543,,,,2017.0,14.0,9.0
9.0,15.0,3859.4541909090913,18.618272727272725,,,,2017.0,15.0,9.0
9.0,16.0,3807.6715090909083,18.631727272727275,,,,2017.0,16.0,9.0
9.0,17.0,3775.250672727272,18.642545454545452,,,,2017.0,17.0,9.0
9.0,18.0,3553.1463,18.652272727272727,,,,2017.0,18.0,9.0
9.0,19.0,3511.0774090909094,18.637363636363638,,,,2017.0,19.0,9.0
9.0,20.0,3657.594463636364,18.651363636363637,,,,2017.0,20.0,9.0
9.0,21.0,3700.4211727272723,18.66018181818182,,,,2017.0,21.0,9.0
9.0,22.0,3612.7045454545455,18.66672727272727,,,,2017.0,22.0,9.0
9.0,23.0,3734.6104818181816,18.644454545454547,,,,2017.0,23.0,9.0
9.0,24.0,3752.3497545454547,18.639363636363637,,,,2017.0,24.0,9.0
9.0,25.0,3761.712363636364,18.64018181818182,,,,2017.0,25.0,9.0
9.0,26.0,3556.233290909091,18.675818181818183,,,,2017.0,26.0,9.0
9.0,27.0,3405.9712,18.66018181818182,,,,2017.0,27.0,9.0
9.0,28.0,3467.2478909090905,18.679363636363636,,,,2017.0,28.0,9.0
9.0,29.0,3709.032654545455,18.64963636363636,,,,2017.0,29.0,9.0
9.0,30.0,3717.7258818181817,18.644363636363636,,,,2017.0,30.0,9.0
10.0,1.0,3770.3376818181814,18.626727272727276,,,,2017.0,1.0,10.0
10.0,2.0,3648.0095636363635,18.620454545454546,,,,2017.0,2.0,10.0
10.0,3.0,3659.050081818182,18.625636363636364,,,,2017.0,3.0,10.0
