time,Year,Month,Day,SIE
23/6/2013,2013,6,23,14-Jan-00
24/6/2013,2013,6,24,14-Jan-00
25/6/2013,2013,6,25,15-Jan-00
26/6/2013,2013,6,26,15-Jan-00
27/6/2013,2013,6,27,15-Jan-00
28/6/2013,2013,6,28,15-Jan-00
29/6/2013,2013,6,29,15-Jan-00
30/6/2013,2013,6,30,15-Jan-00
7/1/13,2013,7,1,15-Jan-00
7/2/13,2013,7,2,15-Jan-00
7/3/13,2013,7,3,15-Jan-00
7/4/13,2013,7,4,15-Jan-00
7/5/13,2013,7,5,15-Jan-00
7/6/13,2013,7,6,15-Jan-00
7/7/13,2013,7,7,16-Jan-00
7/8/13,2013,7,8,16-Jan-00
7/9/13,2013,7,9,16-Jan-00
7/10/13,2013,7,10,16-Jan-00
7/11/13,2013,7,11,16-Jan-00
7/12/13,2013,7,12,16-Jan-00
13/7/2013,2013,7,13,16-Jan-00
14/7/2013,2013,7,14,16-Jan-00
15/7/2013,2013,7,15,16-Jan-00
16/7/2013,2013,7,16,16-Jan-00
17/7/2013,2013,7,17,16-Jan-00
18/7/2013,2013,7,18,16-Jan-00
19/7/2013,2013,7,19,16-Jan-00
20/7/2013,2013,7,20,17-Jan-00
21/7/2013,2013,7,21,17-Jan-00
22/7/2013,2013,7,22,17-Jan-00
23/7/2013,2013,7,23,17-Jan-00
24/7/2013,2013,7,24,17-Jan-00
25/7/2013,2013,7,25,17-Jan-00
26/7/2013,2013,7,26,17-Jan-00
27/7/2013,2013,7,27,17-Jan-00
28/7/2013,2013,7,28,17-Jan-00
29/7/2013,2013,7,29,17-Jan-00
30/7/2013,2013,7,30,18-Jan-00
31/7/2013,2013,7,31,18-Jan-00
8/1/13,2013,8,1,18-Jan-00
8/2/13,2013,8,2,18-Jan-00
8/3/13,2013,8,3,18-Jan-00
8/4/13,2013,8,4,18-Jan-00
8/5/13,2013,8,5,18-Jan-00
8/6/13,2013,8,6,18-Jan-00
8/7/13,2013,8,7,18-Jan-00
8/8/13,2013,8,8,18-Jan-00
8/9/13,2013,8,9,18-Jan-00
8/10/13,2013,8,10,18-Jan-00
8/11/13,2013,8,11,18-Jan-00
8/12/13,2013,8,12,18-Jan-00
13/8/2013,2013,8,13,18-Jan-00
14/8/2013,2013,8,14,18-Jan-00
15/8/2013,2013,8,15,18-Jan-00
16/8/2013,2013,8,16,18-Jan-00
17/8/2013,2013,8,17,18-Jan-00
18/8/2013,2013,8,18,18-Jan-00
19/8/2013,2013,8,19,18-Jan-00
20/8/2013,2013,8,20,18-Jan-00
21/8/2013,2013,8,21,18-Jan-00
22/8/2013,2013,8,22,18-Jan-00
23/8/2013,2013,8,23,19-Jan-00
24/8/2013,2013,8,24,19-Jan-00
25/8/2013,2013,8,25,19-Jan-00
26/8/2013,2013,8,26,19-Jan-00
27/8/2013,2013,8,27,19-Jan-00
28/8/2013,2013,8,28,19-Jan-00
29/8/2013,2013,8,29,19-Jan-00
30/8/2013,2013,8,30,19-Jan-00
31/8/2013,2013,8,31,19-Jan-00
9/1/13,2013,9,1,19-Jan-00
9/2/13,2013,9,2,19-Jan-00
9/3/13,2013,9,3,19-Jan-00
9/4/13,2013,9,4,19-Jan-00
9/5/13,2013,9,5,19-Jan-00
9/6/13,2013,9,6,19-Jan-00
9/7/13,2013,9,7,19-Jan-00
9/8/13,2013,9,8,19-Jan-00
9/9/13,2013,9,9,19-Jan-00
9/10/13,2013,9,10,19-Jan-00
9/11/13,2013,9,11,19-Jan-00
9/12/13,2013,9,12,19-Jan-00
13/9/2013,2013,9,13,19-Jan-00
14/9/2013,2013,9,14,19-Jan-00
15/9/2013,2013,9,15,19-Jan-00
16/9/2013,2013,9,16,19-Jan-00
17/9/2013,2013,9,17,19-Jan-00
18/9/2013,2013,9,18,19-Jan-00
19/9/2013,2013,9,19,19-Jan-00
20/9/2013,2013,9,20,19-Jan-00
21/9/2013,2013,9,21,19-Jan-00
22/9/2013,2013,9,22,19-Jan-00
23/9/2013,2013,9,23,19-Jan-00
24/9/2013,2013,9,24,19-Jan-00
25/9/2013,2013,9,25,19-Jan-00
26/9/2013,2013,9,26,19-Jan-00
27/9/2013,2013,9,27,19-Jan-00
28/9/2013,2013,9,28,19-Jan-00
29/9/2013,2013,9,29,19-Jan-00
30/9/2013,2013,9,30,19-Jan-00
10/1/13,2013,10,1,19-Jan-00
